[0, 0, 0, 0][0, 0, 0, 0]
[0, 0, 1, 0][0, 0, 0, 0]
[0, 0, 1, 0][0, 0, 0, 0]
[0, 0, 1, 1][0, 0, 0, 0]
[0, 0, 1, 1][0, 0, 0, 0]
[0, 0, 2, 1][0, 0, 0, 0]
[0, 0, 2, 1][0, 0, 0, 0]
[1, 0, 2, 1][0, 0, 0, 0]
[1, 0, 2, 1][0, 0, 0, 0]
[1, 0, 2, 2][0, 0, 0, 0]
[1, 0, 2, 2][0, 0, 0, 0]
[1, 0, 3, 2][0, 0, 0, 0]
[1, 0, 3, 2][0, 0, 0, 0]
[1, 1, 3, 2][0, 0, 0, 0]
[1, 1, 3, 2][0, 0, 0, 0]
[1, 1, 3, 3][0, 0, 0, 0]
[1, 1, 3, 3][0, 0, 0, 0]
[2, 1, 3, 3][0, 0, 0, 0]
[2, 1, 3, 3][0, 0, 0, 0]
[3, 1, 3, 3][0, 0, 0, 0]
[3, 1, 3, 3][0, 0, 0, 0]
[3, 1, 3, 4][0, 0, 0, 0]
[3, 1, 3, 4][0, 0, 0, 0]
[3, 2, 3, 4][0, 0, 0, 0]
[3, 2, 3, 4][0, 0, 0, 0]
[3, 2, 3, 5][0, 0, 0, 0]
[3, 2, 3, 5][0, 0, 0, 0]
[3, 3, 3, 5][0, 0, 0, 0]
[3, 3, 3, 5][0, 0, 0, 0]
[3, 3, 3, 6][0, 0, 0, 0]
[3, 3, 3, 6][0, 0, 0, 0]
[4, 3, 3, 6][0, 0, 0, 0]
[4, 3, 3, 6][0, 0, 0, 0]
[4, 3, 4, 6][0, 0, 0, 0]
[4, 3, 4, 6][0, 0, 0, 0]
[4, 3, 4, 7][0, 0, 0, 0]
[4, 3, 4, 7][0, 0, 0, 0]
[4, 3, 4, 8][0, 0, 0, 0]
[4, 3, 4, 8][0, 0, 0, 0]
[4, 3, 5, 8][0, 0, 0, 0]
[4, 3, 5, 8][0, 0, 0, 0]
[4, 3, 6, 8][0, 0, 0, 0]
[4, 3, 6, 8][0, 0, 0, 0]
[5, 3, 6, 8][0, 0, 0, 0]
[5, 3, 6, 8][0, 0, 0, 0]
[5, 3, 7, 8][0, 0, 0, 0]
[5, 3, 7, 8][0, 0, 0, 0]
[6, 3, 7, 8][0, 0, 0, 0]
[6, 3, 7, 8][0, 0, 0, 0]
[6, 3, 7, 9][0, 0, 0, 0]
[6, 3, 7, 9][0, 0, 0, 0]
[6, 3, 8, 9][0, 0, 0, 0]
[6, 3, 8, 9][0, 0, 0, 0]
[6, 4, 8, 9][0, 0, 0, 0]
[6, 4, 8, 9][0, 0, 0, 0]
[7, 4, 8, 9][0, 0, 0, 0]
[7, 4, 8, 9][0, 0, 0, 0]
[7, 4, 9, 9][0, 0, 0, 0]
[7, 4, 9, 9][0, 0, 0, 0]
[7, 4, 10, 9][0, 0, 0, 0]
[7, 4, 10, 9][0, 0, 0, 0]
[7, 5, 10, 9][0, 0, 0, 0]
[7, 5, 10, 9][0, 0, 0, 0]
[7, 5, 10, 10][0, 0, 0, 0]
[7, 5, 10, 10][0, 0, 0, 0]
[7, 5, 11, 10][0, 0, 0, 0]
[7, 5, 11, 10][0, 0, 0, 0]
[8, 5, 11, 10][0, 0, 0, 0]
[8, 5, 11, 10][0, 0, 0, 0]
[9, 5, 11, 10][0, 0, 0, 0]
[9, 5, 11, 10][0, 0, 0, 0]
[10, 5, 11, 10][0, 0, 0, 0]
[10, 5, 11, 10][0, 0, 0, 0]
[10, 5, 12, 10][0, 0, 0, 0]
[10, 5, 12, 10][0, 0, 0, 0]
[10, 5, 13, 10][0, 0, 0, 0]
[10, 5, 13, 10][0, 0, 0, 0]
[11, 5, 13, 10][0, 0, 0, 0]
[11, 5, 13, 10][0, 0, 0, 0]
[11, 5, 14, 10][0, 0, 0, 0]
[11, 5, 14, 10][0, 0, 0, 0]
[11, 6, 14, 10][0, 0, 0, 0]
[11, 6, 14, 10][0, 0, 0, 0]
[11, 6, 14, 11][0, 0, 0, 0]
[11, 6, 14, 11][0, 0, 0, 0]
[12, 6, 14, 11][0, 0, 0, 0]
[12, 6, 14, 11][0, 0, 0, 0]
[12, 6, 14, 12][0, 0, 0, 0]
[12, 6, 14, 12][0, 0, 0, 0]
[12, 7, 14, 12][0, 0, 0, 0]
[12, 7, 14, 12][0, 0, 0, 0]
[12, 7, 14, 13][0, 0, 0, 0]
[12, 7, 14, 13][0, 0, 0, 0]
[13, 7, 14, 13][0, 0, 0, 0]
[13, 7, 14, 13][0, 0, 0, 0]
